company_id: emni
company_name: 이엠앤아이
doc_title: 2024_재무_OFS.json
source_url: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534
file_url: colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_재무/2024_재무_OFS.json
schema: dart_financial_statement
local_path: C:\Users\nguye\Downloads\data-company\dataset-excel\output_restart_emni_20260617\output_restart_emni_20260617\이엠앤아이_일반자료_20260617\02_재무_신용\DART_재무\2024_재무_OFS.json

# DART financial statement (2024_재무_OFS.json, year=2024)

## 재무상태표
- statement=현금흐름표 | account=차량운반구의 취득 | account_id=dart_PurchaseOfVehicles | 제 26 기=- KRW | 제 25 기=63,178,498 KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=당사의 변동으로 인한 현금의 감소 | account_id=-표준계정코드 미사용- | 제 26 기=-795160 KRW | 제 25 기=- KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=정부보조금의 수령 | account_id=ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities | 제 26 기=169,754,830 KRW | 제 25 기=- KRW | 제 24 기=434,123,895 KRW
- statement=현금흐름표 | account=투자부동산의 취득 | account_id=ifrs-full_PurchaseOfInvestmentProperty | 제 26 기=- KRW | 제 25 기=1,704,124,966 KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=영업활동현금흐름 | account_id=ifrs-full_CashFlowsFromUsedInOperatingActivities | 제 26 기=944,564,566 KRW | 제 25 기=-1392898524 KRW | 제 24 기=2,054,794,421 KRW
- statement=현금흐름표 | account=영업활동에서 창출된 현금흐름 | account_id=-표준계정코드 미사용- | 제 26 기=805,158,548 KRW | 제 25 기=-1538171561 KRW | 제 24 기=2,032,019,593 KRW
- statement=현금흐름표 | account=당기순이익(손실) | account_id=-표준계정코드 미사용- | 제 26 기=1,487,148,638 KRW | 제 25 기=-386667305 KRW | 제 24 기=-122437316 KRW
- statement=현금흐름표 | account=순운전자본의 변동 | account_id=-표준계정코드 미사용- | 제 26 기=-332331653 KRW | 제 25 기=-1731841091 KRW | 제 24 기=674,880,826 KRW
- statement=현금흐름표 | account=조정 | account_id=-표준계정코드 미사용- | 제 26 기=-349658437 KRW | 제 25 기=580,336,835 KRW | 제 24 기=1,479,576,083 KRW
- statement=현금흐름표 | account=법인세환급(납부) | account_id=ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities | 제 26 기=13,453,550 KRW | 제 25 기=23,808,870 KRW | 제 24 기=2,671,049 KRW
