company_id: emni
company_name: 이엠앤아이
doc_title: 2023_재무_CFS.json
source_url: 
file_url: colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_재무/2023_재무_CFS.json
schema: dart_financial_statement
local_path: C:\Users\nguye\Downloads\data-company\dataset-excel\output_restart_emni_20260617\output_restart_emni_20260617\이엠앤아이_일반자료_20260617\02_재무_신용\DART_재무\2023_재무_CFS.json

# DART financial statement (2023_재무_CFS.json, year=2023)

## 재무상태표
- statement=현금흐름표 | account=매각예정자산의 처분 | account_id=dart_ProceedsFromSalesOfBuildings | 제 25 기=200,000,000 KRW | 제 24 기=- KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=기계장치의 처분 | account_id=dart_ProceedsFromSalesOfMachinery | 제 25 기=- KRW | 제 24 기=326,335,300 KRW | 제 23 기=242,000,000 KRW
- statement=현금흐름표 | account=건설중인자산의 취득 | account_id=dart_PurchaseOfConstructionInProgress | 제 25 기=415,870,820 KRW | 제 24 기=311,492,809 KRW | 제 23 기=126,750,000 KRW
- statement=현금흐름표 | account=당기손익인식금융자산의 취득 | account_id=dart_PurchaseOfFairValueFinancialAsset | 제 25 기=1,100,000,000 KRW | 제 24 기=- KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=기계장치의 취득 | account_id=dart_PurchaseOfMachinery | 제 25 기=615,652,233 KRW | 제 24 기=532,771,229 KRW | 제 23 기=107,156,882 KRW
- statement=현금흐름표 | account=사무용비품의 취득 | account_id=dart_PurchaseOfOfficeEquipment | 제 25 기=42,221,090 KRW | 제 24 기=29,502,727 KRW | 제 23 기=66,291,229 KRW
- statement=현금흐름표 | account=차량운반구의 취득 | account_id=dart_PurchaseOfVehicles | 제 25 기=63,178,498 KRW | 제 24 기=- KRW | 제 23 기=18,648,485 KRW
- statement=현금흐름표 | account=단기대여금의증가 | account_id=-표준계정코드 미사용- | 제 25 기=-670000000 KRW | 제 24 기=- KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=공구와기구의 취득 | account_id=-표준계정코드 미사용- | 제 25 기=- KRW | 제 24 기=13,743,167 KRW | 제 23 기=1,065,366 KRW
- statement=현금흐름표 | account=시설장치의 취득 | account_id=-표준계정코드 미사용- | 제 25 기=- KRW | 제 24 기=- KRW | 제 23 기=13,728,000 KRW
- statement=현금흐름표 | account=보증금 증가 | account_id=-표준계정코드 미사용- | 제 25 기=63,710,000 KRW | 제 24 기=124,871,865 KRW | 제 23 기=123,761,049 KRW
